City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,26.58,78,1,5.75,BR,"{'coord': {'lon': -50.2056, 'lat': -30.1811}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 26.58, 'feels_like': 26.58, 'temp_min': 26.58, 'temp_max': 26.58, 'pressure': 1008, 'humidity': 78, 'sea_level': 1008, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 5.75, 'deg': 76, 'gust': 7.04}, 'clouds': {'all': 1}, 'dt': 1738521165, 'sys': {'country': 'BR', 'sunrise': 1738486212, 'sunset': 1738534731}, 'timezone': -10800, 'id': 3466165, 'name': 'Cidreira', 'cod': 200}"
1,longyearbyen,78.2186,15.6401,3.91,60,40,1.54,SJ,"{'coord': {'lon': 15.6401, 'lat': 78.2186}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 3.91, 'feels_like': 2.65, 'temp_min': 3.91, 'temp_max': 3.91, 'pressure': 1017, 'humidity': 60, 'sea_level': 1017, 'grnd_level': 1012}, 'visibility': 10000, 'wind': {'speed': 1.54, 'deg': 0}, 'clouds': {'all': 40}, 'dt': 1738520974, 'sys': {'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}, 'timezone': 3600, 'id': 2729907, 'name': 'Longyearbyen', 'cod': 200}"
2,berezovyy,51.6667,135.7,-21.14,99,100,1.19,RU,"{'coord': {'lon': 135.7, 'lat': 51.6667}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -21.14, 'feels_like': -21.14, 'temp_min': -21.14, 'temp_max': -21.14, 'pressure': 1022, 'humidity': 99, 'sea_level': 1022, 'grnd_level': 970}, 'visibility': 3829, 'wind': {'speed': 1.19, 'deg': 312, 'gust': 1}, 'clouds': {'all': 100}, 'dt': 1738521168, 'sys': {'country': 'RU', 'sunrise': 1738535605, 'sunset': 1738568910}, 'timezone': 36000, 'id': 2026786, 'name': 'Berezovyy', 'cod': 200}"
3,port mathurin,-19.6833,63.4167,26.95,86,99,6.24,MU,"{'coord': {'lon': 63.4167, 'lat': -19.6833}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 26.95, 'feels_like': 30.19, 'temp_min': 26.95, 'temp_max': 26.95, 'pressure': 1011, 'humidity': 86, 'sea_level': 1011, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 6.24, 'deg': 47, 'gust': 6.98}, 'clouds': {'all': 99}, 'dt': 1738521169, 'sys': {'country': 'MU', 'sunrise': 1738459888, 'sunset': 1738506511}, 'timezone': 14400, 'id': 1545752, 'name': 'Port Mathurin', 'cod': 200}"
4,edinburgh of the seven seas,-37.0676,-12.3116,18.55,88,100,12.18,SH,"{'coord': {'lon': -12.3116, 'lat': -37.0676}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 18.55, 'feels_like': 18.76, 'temp_min': 18.55, 'temp_max': 18.55, 'pressure': 1015, 'humidity': 88, 'sea_level': 1015, 'grnd_level': 1011}, 'visibility': 10000, 'wind': {'speed': 12.18, 'deg': 299, 'gust': 18.04}, 'clouds': {'all': 100}, 'dt': 1738521170, 'sys': {'country': 'SH', 'sunrise': 1738476354, 'sunset': 1738526398}, 'timezone': 0, 'id': 3370726, 'name': 'Edinburgh of the Seven Seas', 'cod': 200}"
5,taoudenni,22.6783,-3.9836,17.93,17,0,4.52,ML,"{'coord': {'lon': -3.9836, 'lat': 22.6783}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 17.93, 'feels_like': 16.22, 'temp_min': 17.93, 'temp_max': 17.93, 'pressure': 1018, 'humidity': 17, 'sea_level': 1018, 'grnd_level': 996}, 'visibility': 10000, 'wind': {'speed': 4.52, 'deg': 57, 'gust': 5.51}, 'clouds': {'all': 0}, 'dt': 1738521171, 'sys': {'country': 'ML', 'sunrise': 1738479284, 'sunset': 1738519470}, 'timezone': 0, 'id': 2450173, 'name': 'Taoudenni', 'cod': 200}"
6,iskateley,67.6803,53.1512,-26.73,94,6,4.25,RU,"{'coord': {'lon': 53.1512, 'lat': 67.6803}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -26.73, 'feels_like': -33.73, 'temp_min': -26.73, 'temp_max': -26.73, 'pressure': 1042, 'humidity': 94, 'sea_level': 1042, 'grnd_level': 1040}, 'visibility': 10000, 'wind': {'speed': 4.25, 'deg': 51, 'gust': 8.5}, 'clouds': {'all': 6}, 'dt': 1738521172, 'sys': {'country': 'RU', 'sunrise': 1738474642, 'sunset': 1738496684}, 'timezone': 10800, 'id': 866062, 'name': 'Iskateley', 'cod': 200}"
7,adamstown,-25.066,-130.1015,25.16,75,18,5.66,PN,"{'coord': {'lon': -130.1015, 'lat': -25.066}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 25.16, 'feels_like': 25.69, 'temp_min': 25.16, 'temp_max': 25.16, 'pressure': 1017, 'humidity': 75, 'sea_level': 1017, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 5.66, 'deg': 26, 'gust': 6.31}, 'rain': {'1h': 0.27}, 'clouds': {'all': 18}, 'dt': 1738521173, 'sys': {'country': 'PN', 'sunrise': 1738505886, 'sunset': 1738553410}, 'timezone': -28800, 'id': 4030723, 'name': 'Adamstown', 'cod': 200}"
8,susuman,62.7833,148.1667,-37.83,99,100,0.33,RU,"{'coord': {'lon': 148.1667, 'lat': 62.7833}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -37.83, 'feels_like': -37.83, 'temp_min': -37.83, 'temp_max': -37.83, 'pressure': 1032, 'humidity': 99, 'sea_level': 1032, 'grnd_level': 941}, 'visibility': 2004, 'wind': {'speed': 0.33, 'deg': 345, 'gust': 0.56}, 'clouds': {'all': 100}, 'dt': 1738521174, 'sys': {'country': 'RU', 'sunrise': 1738535610, 'sunset': 1738562921}, 'timezone': 39600, 'id': 2120864, 'name': 'Susuman', 'cod': 200}"
9,curuca,-0.7289,-47.8481,25.8,84,99,1.2,BR,"{'coord': {'lon': -47.8481, 'lat': -0.7289}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 25.8, 'feels_like': 26.63, 'temp_min': 25.8, 'temp_max': 25.8, 'pressure': 1007, 'humidity': 84, 'sea_level': 1007, 'grnd_level': 1005}, 'visibility': 10000, 'wind': {'speed': 1.2, 'deg': 45, 'gust': 3.09}, 'rain': {'1h': 2.51}, 'clouds': {'all': 99}, 'dt': 1738521175, 'sys': {'country': 'BR', 'sunrise': 1738488045, 'sunset': 1738531766}, 'timezone': -10800, 'id': 3401188, 'name': 'Curuçá', 'cod': 200}"
